image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,occupancy,regularity_index
cmp_b0055.jpg,955,1024,162,126,112,18,4,1.5555555555555556,0.6060606946739856
cmp_b0056.jpg,1024,483,109,56,46,16,2,1.4375,0.35227298663899875
cmp_b0057.jpg,1024,497,131,99,72,18,3,1.3333333333333333,0.4303032056932266
cmp_b0058.jpg,690,1024,159,62,58,11,5,1.0545454545454545,0.6607163789113728
cmp_b0059.jpg,1024,725,244,155,134,16,7,1.1964285714285714,0.1785717735929117
cmp_b0060.jpg,1024,533,256,109,96,18,5,1.0666666666666667,0.4593940989163758
cmp_b0061.jpg,1024,321,193,130,107,20,4,1.3375,0.49651524937555
cmp_b0062.jpg,1024,595,152,90,83,19,3,1.456140350877193,0.35023942825858734
cmp_b0063.jpg,1024,296,103,77,60,21,3,0.9523809523809523,0.2614720531942142
cmp_b0064.jpg,1024,241,120,63,49,17,2,1.4411764705882353,0.2852052617834898
cmp_b0065.jpg,1024,297,157,67,61,19,3,1.0701754385964912,0.3923446684499874
cmp_b0066.jpg,1024,616,371,273,241,20,10,1.205,0.0
cmp_b0067.jpg,1024,460,160,89,68,17,3,1.3333333333333333,0.49696986124878395
cmp_b0068.jpg,1024,399,151,112,90,16,4,1.40625,0.7556818756886866
cmp_b0069.jpg,1024,840,179,116,97,23,2,2.108695652173913,0.0
cmp_b0070.jpg,1024,449,188,77,61,15,5,0.8133333333333334,0.6463031636326307
cmp_b0071.jpg,1024,835,141,67,57,17,3,1.1176470588235294,0.5204992601792722
cmp_b0072.jpg,1024,586,219,122,107,19,5,1.1263157894736842,0.3862202698766929
cmp_b0073.jpg,917,1024,135,63,56,11,4,1.2727272727272727,0.8369146390015736
cmp_b0074.jpg,839,1024,167,95,84,13,5,1.2923076923076924,0.7681120055053443
cmp_b0075.jpg,1024,445,153,71,55,17,2,1.6176470588235294,0.2659539353858176
cmp_b0076.jpg,1024,666,150,81,68,19,2,1.7894736842105263,0.11387591172960088
cmp_b0077.jpg,1024,786,204,129,106,13,6,1.358974358974359,0.560839382199507
cmp_b0078.jpg,1024,805,248,98,84,14,5,1.2,0.7115152745270308
cmp_b0079.jpg,1024,601,210,108,92,17,4,1.3529411764705883,0.6948307249824259
cmp_b0080.jpg,1024,503,145,56,51,16,2,1.59375,0.3352275413910598
cmp_b0081.jpg,514,1024,279,166,136,11,12,1.0303030303030303,0.0
cmp_b0082.jpg,758,1024,273,166,136,14,7,1.3877551020408163,0.29103311093104
cmp_b0083.jpg,827,1024,277,117,102,13,8,0.9807692307692307,0.19790249904620758
cmp_b0084.jpg,995,1024,138,86,72,17,4,1.0588235294117647,0.7269162689785464
cmp_b0085.jpg,828,1024,158,115,91,16,5,1.1375,0.5850001415150916
cmp_b0086.jpg,703,1024,120,85,64,12,5,1.0666666666666667,0.7260607211386054
cmp_b0087.jpg,530,1024,172,122,82,10,7,1.1714285714285715,0.18129904483258194
cmp_b0088.jpg,441,1024,143,85,73,11,6,1.106060606060606,0.4550966472659418
cmp_b0089.jpg,365,1024,166,100,87,7,11,1.12987012987013,0.0
cmp_b0090.jpg,1024,813,110,47,44,15,2,1.4666666666666666,0.41575782574827425
cmp_b0091.jpg,1024,929,143,78,66,17,3,1.2941176470588236,0.5012479337816
cmp_b0092.jpg,1024,844,110,35,34,13,2,1.3076923076923077,0.5664337847424203
cmp_b0093.jpg,723,1024,121,42,36,12,2,1.5,0.47878811965093804
cmp_b0094.jpg,1024,721,122,58,50,14,2,1.7857142857142858,0.4476193054832782
cmp_b0095.jpg,1024,781,139,75,67,17,4,0.9852941176470589,0.7317291005779645
