image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr
cmp_b0037.jpg,994,1024,183,130,109,17,8,0.3274140753691657
cmp_b0038.jpg,1024,721,152,97,82,16,5,0.2156034811475226
cmp_b0039.jpg,1024,775,175,117,102,15,5,0.2566749457707759
cmp_b0040.jpg,1024,687,198,137,119,21,5,0.4533912576429969
cmp_b0041.jpg,954,1024,178,128,110,17,6,0.3241238479609662
cmp_b0042.jpg,1024,933,148,97,84,17,4,0.1841919467718313
cmp_b0043.jpg,1024,550,103,52,44,15,2,0.18675231757510483
cmp_b0044.jpg,1024,591,134,65,55,13,3,0.13757173195969455
cmp_b0045.jpg,1024,704,219,19,17,12,1,0.020461078540885018
cmp_b0046.jpg,1024,778,162,97,80,17,3,0.34918222943974014
cmp_b0047.jpg,1024,849,300,207,178,20,7,0.29154479831548025
cmp_b0048.jpg,1024,696,97,51,38,10,2,0.4991155159913122
cmp_b0049.jpg,1024,715,96,71,64,19,2,0.3652170212765957
cmp_b0050.jpg,1024,636,78,45,40,14,2,0.24218260071688374
cmp_b0051.jpg,810,1024,224,103,98,19,4,0.13809189929343785
cmp_b0052.jpg,942,1024,117,58,56,12,3,0.18989546642685035
cmp_b0053.jpg,1015,1024,110,55,52,13,3,0.23707018993979082
cmp_b0054.jpg,1024,809,101,46,44,13,2,0.24542260357454887
cmp_b0055.jpg,955,1024,162,126,112,18,4,0.3937360031181254
cmp_b0056.jpg,1024,483,109,56,46,16,2,0.20747148676594807
cmp_b0057.jpg,1024,497,131,99,72,18,3,0.4253917044227182
cmp_b0058.jpg,690,1024,159,62,58,11,5,0.19683830050053014
cmp_b0059.jpg,1024,725,244,155,134,16,7,0.3037157131893402
cmp_b0060.jpg,1024,533,256,109,96,18,5,0.23291284698021825
cmp_b0061.jpg,1024,321,193,130,107,20,4,0.4225384136315257
cmp_b0062.jpg,1024,595,152,90,83,19,3,0.2549421663234727
cmp_b0063.jpg,1024,296,103,77,60,21,3,0.22337410553773485
cmp_b0064.jpg,1024,241,120,63,49,17,2,0.21162397417848436
cmp_b0065.jpg,1024,297,157,67,61,19,3,0.20242020080923123
cmp_b0066.jpg,1024,616,371,273,241,20,10,0.22172144462641144
cmp_b0067.jpg,1024,460,160,89,68,17,3,0.2561418117757139
cmp_b0068.jpg,1024,399,151,112,90,16,4,0.3446823814214133
cmp_b0069.jpg,1024,840,179,116,97,23,2,0.2620724390974759
cmp_b0070.jpg,1024,449,188,77,61,15,5,0.24986293991478228
cmp_b0071.jpg,1024,835,141,67,57,17,3,0.24108549187882286
cmp_b0072.jpg,1024,586,219,122,107,19,5,0.5602952080765596
cmp_b0073.jpg,917,1024,135,63,56,11,4,0.2504969452402336
cmp_b0074.jpg,839,1024,167,95,84,13,5,0.34504659231209606
cmp_b0075.jpg,1024,445,153,71,55,17,2,0.14349939420535962
cmp_b0076.jpg,1024,666,150,81,68,19,2,0.24896438306617966
cmp_b0077.jpg,1024,786,204,129,106,13,6,5.70352731840067
cmp_b0078.jpg,1024,805,248,98,84,14,5,0.22826874136552025
cmp_b0079.jpg,1024,601,210,108,92,17,4,0.33400368241665346
cmp_b0080.jpg,1024,503,145,56,51,16,2,0.11590577059808255
cmp_b0081.jpg,514,1024,279,166,136,11,12,0.3245629138036282
cmp_b0082.jpg,758,1024,273,166,136,14,7,0.30344319129328123
cmp_b0083.jpg,827,1024,277,117,102,13,8,0.15343862262163382
cmp_b0084.jpg,995,1024,138,86,72,17,4,0.26088842816171526
cmp_b0085.jpg,828,1024,158,115,91,16,5,0.30679479008949706
cmp_b0086.jpg,703,1024,120,85,64,12,5,0.3417355527220473
cmp_b0087.jpg,530,1024,172,122,82,10,7,0.6916497156378429
cmp_b0088.jpg,441,1024,143,85,73,11,6,0.37254430405593963
cmp_b0089.jpg,365,1024,166,100,87,7,11,0.22408946779501362
cmp_b0090.jpg,1024,813,110,47,44,15,2,0.18014004438398118
cmp_b0091.jpg,1024,929,143,78,66,17,3,0.2381616975669144
cmp_b0092.jpg,1024,844,110,35,34,13,2,0.08299473908325435
cmp_b0093.jpg,723,1024,121,42,36,12,2,0.16456768714956632
cmp_b0094.jpg,1024,721,122,58,50,14,2,0.2737730313035373
cmp_b0095.jpg,1024,781,139,75,67,17,4,0.5474186703869773
cmp_b0096.jpg,627,1024,182,88,78,12,5,0.354062899818501
cmp_b0097.jpg,883,1024,242,150,121,18,7,0.4053360861427936
cmp_b0098.jpg,1024,802,130,64,55,16,3,0.3164989200801483
cmp_b0099.jpg,737,1024,153,96,76,16,4,0.4051284108344448
cmp_b0100.jpg,1024,726,190,118,105,20,4,0.7164044312815541
cmp_b0101.jpg,1024,845,131,73,62,18,3,0.4034462798877955
cmp_b0102.jpg,768,1024,140,60,55,10,5,0.16369513603146488
cmp_b0103.jpg,1024,807,80,35,34,17,2,0.33632273962796344
cmp_b0104.jpg,666,1024,178,113,86,12,6,0.275004310994017
cmp_b0105.jpg,507,1024,154,107,89,12,7,0.24485960084027336
cmp_b0106.jpg,574,1024,220,129,107,14,6,0.5311917031454905
cmp_b0107.jpg,751,1024,205,119,105,15,7,0.30075951677561974
cmp_b0108.jpg,766,1024,202,157,117,14,7,0.8145903378833399
cmp_b0109.jpg,825,1024,196,91,84,13,6,0.30389793180859864
cmp_b0110.jpg,812,1024,157,93,86,13,6,0.44678135067777036
cmp_b0111.jpg,1024,689,116,57,46,14,2,0.21995033652380339
