image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row
cmp_b0062.jpg,1024,595,152,90,83,19,3
cmp_b0063.jpg,1024,296,103,77,60,21,3
cmp_b0064.jpg,1024,241,120,63,49,17,2
cmp_b0065.jpg,1024,297,157,67,61,19,3
cmp_b0066.jpg,1024,616,371,273,241,20,10
cmp_b0067.jpg,1024,460,160,89,68,17,3
cmp_b0068.jpg,1024,399,151,112,90,16,4
cmp_b0069.jpg,1024,840,179,116,97,23,2
cmp_b0070.jpg,1024,449,188,77,61,15,5
cmp_b0071.jpg,1024,835,141,67,57,17,3
cmp_b0072.jpg,1024,586,219,122,107,19,5
cmp_b0073.jpg,917,1024,135,63,56,11,4
cmp_b0074.jpg,839,1024,167,95,84,13,5
cmp_b0075.jpg,1024,445,153,71,55,17,2
cmp_b0076.jpg,1024,666,150,81,68,19,2
cmp_b0077.jpg,1024,786,204,129,106,13,6
cmp_b0078.jpg,1024,805,248,98,84,14,5
cmp_b0079.jpg,1024,601,210,108,92,17,4
cmp_b0080.jpg,1024,503,145,56,51,16,2
cmp_b0081.jpg,514,1024,279,166,136,11,12
cmp_b0082.jpg,758,1024,273,166,136,14,7
cmp_b0083.jpg,827,1024,277,117,102,13,8
cmp_b0084.jpg,995,1024,138,86,72,17,4
cmp_b0085.jpg,828,1024,158,115,91,16,5
cmp_b0086.jpg,703,1024,120,85,64,12,5
cmp_b0087.jpg,530,1024,172,122,82,10,7
cmp_b0088.jpg,441,1024,143,85,73,11,6
cmp_b0089.jpg,365,1024,166,100,87,7,11
cmp_b0090.jpg,1024,813,110,47,44,15,2
cmp_b0091.jpg,1024,929,143,78,66,17,3
cmp_b0092.jpg,1024,844,110,35,34,13,2
cmp_b0093.jpg,723,1024,121,42,36,12,2
cmp_b0094.jpg,1024,721,122,58,50,14,2
cmp_b0095.jpg,1024,781,139,75,67,17,4
cmp_b0096.jpg,627,1024,182,88,78,12,5
